invoice_no,invoice_date,customer_id,country,quantity,unit_price,revenue
489434,01-12-2009,13085,"United Kingdom",12,6.95,83.4
489434,01-12-2009,13085,"United Kingdom",12,6.75,81
489434,01-12-2009,13085,"United Kingdom",12,6.75,81
489434,01-12-2009,13085,"United Kingdom",48,2.1,100.8
489434,01-12-2009,13085,"United Kingdom",24,1.25,30
489434,01-12-2009,13085,"United Kingdom",24,1.65,39.6
489434,01-12-2009,13085,"United Kingdom",24,1.25,30
489434,01-12-2009,13085,"United Kingdom",10,5.95,59.5
489435,01-12-2009,13085,"United Kingdom",12,2.55,30.6
489435,01-12-2009,13085,"United Kingdom",12,3.75,45
489435,01-12-2009,13085,"United Kingdom",24,1.65,39.6
489435,01-12-2009,13085,"United Kingdom",12,2.55,30.6
489436,01-12-2009,13078,"United Kingdom",10,5.95,59.5
489436,01-12-2009,13078,"United Kingdom",18,5.45,98.1
489436,01-12-2009,13078,"United Kingdom",3,5.95,17.85
489436,01-12-2009,13078,"United Kingdom",16,1.69,27.04
489436,01-12-2009,13078,"United Kingdom",3,6.95,20.85
489436,01-12-2009,13078,"United Kingdom",12,1.45,17.4
489436,01-12-2009,13078,"United Kingdom",12,1.65,19.8
489436,01-12-2009,13078,"United Kingdom",12,1.65,19.8
489436,01-12-2009,13078,"United Kingdom",16,3.39,54.24
489436,01-12-2009,13078,"United Kingdom",4,3.75,15
489436,01-12-2009,13078,"United Kingdom",2,8.5,17
489436,01-12-2009,13078,"United Kingdom",12,4.65,55.8
489436,01-12-2009,13078,"United Kingdom",12,2.1,25.2
489436,01-12-2009,13078,"United Kingdom",12,2.1,25.2
489436,01-12-2009,13078,"United Kingdom",3,5.95,17.85
489436,01-12-2009,13078,"United Kingdom",6,2.95,17.7
489436,01-12-2009,13078,"United Kingdom",8,1.25,10
489436,01-12-2009,13078,"United Kingdom",8,1.25,10
489436,01-12-2009,13078,"United Kingdom",24,4.25,102
489437,01-12-2009,15362,"United Kingdom",6,2.1,12.6
489437,01-12-2009,15362,"United Kingdom",6,2.1,12.6
489437,01-12-2009,15362,"United Kingdom",12,0.85,10.2
489437,01-12-2009,15362,"United Kingdom",2,6.75,13.5
489437,01-12-2009,15362,"United Kingdom",1,9.95,9.95
489437,01-12-2009,15362,"United Kingdom",2,6.75,13.5
489437,01-12-2009,15362,"United Kingdom",2,6.75,13.5
489437,01-12-2009,15362,"United Kingdom",2,8.95,17.9
489437,01-12-2009,15362,"United Kingdom",3,4.25,12.75
489437,01-12-2009,15362,"United Kingdom",12,1.25,15
489437,01-12-2009,15362,"United Kingdom",12,0.85,10.2
489437,01-12-2009,15362,"United Kingdom",6,2.55,15.3
489437,01-12-2009,15362,"United Kingdom",3,4.25,12.75
489437,01-12-2009,15362,"United Kingdom",12,0.65,7.8
489437,01-12-2009,15362,"United Kingdom",12,0.85,10.2
489437,01-12-2009,15362,"United Kingdom",12,0.85,10.2
489437,01-12-2009,15362,"United Kingdom",12,1.25,15
489437,01-12-2009,15362,"United Kingdom",6,2.95,17.7
489437,01-12-2009,15362,"United Kingdom",6,2.95,17.7
489437,01-12-2009,15362,"United Kingdom",6,2.95,17.7
489437,01-12-2009,15362,"United Kingdom",4,3.75,15
489437,01-12-2009,15362,"United Kingdom",3,4.95,14.85
489437,01-12-2009,15362,"United Kingdom",3,4.95,14.85
